Boek;Hfd;Passage;Titel;Toelichting;Vraag
40;4;Matteüs 4:23–5:10;Als een lopend vuurtje ;"Het publieke optreden van Jezus begint veelbelovend. Het goede nieuws verspreidt zich. Mensen worden genezen. Veel mensen sluiten zich aan bij de beweging van hoop, geloof en liefde. En het loopt uit op een toespraak die zich kan meten met andere beroemde toespraken.
Het programma van het Koninkrijk van God wordt duidelijk. Gelukkig zijn de mensen die in de wereld aan het kortste eindje trekken. Want ze worden gezien. Kleine mensen zonder macht tellen mee, omdat God ze op de eerste plaats zet. Jezus verkondigt niet een wereld zonder pijn, verdriet, moeite en onrecht. Hij spiegelt geen sprookjes voor. De troost van zijn boodschap is wel: je bent niet alleen. Uiteindelijk is liefde ster­ ker dan haat, licht sterker dan duister. Uiteindelijk wint de vrede het van de strijd. Dat geeft hoop, dat inspireert om je te blijven inzetten voor het goede.";
40;5;Matteüs 5:1-10;Gelukkig  ;Bij Matteüs spreekt men van Bergrede, bij Lucas van veldrede. Denkend aan marsen en tractorparades van de laatste jaren zouden we kiezen voor veldrede! Op het Malieveld geldt: hoe groter de massa, des te overtuigender. Valt dat te lezen in Jezus’ toespraak? Jezus trekt zich terug, spreekt níet de massa toe, onderricht wél de leerlingen over mensen die gedeukt zijn in het leven. Zijn zij te vergelijken met een groep die massaal opkomt voor hoger loon of andere stikstofregels? Jezus prijst de leerlingen gelukkig als ze instaan voor het geluk van deze mensen. Daarvoor is Hij gekomen. Hij is een leraar die de Tora gestalte wil geven en probeert anderen te bewegen dat evenzo te doen. De mars naar het Malieveld kan nodig zijn. Niet minder belangrijk is de vraag: wat betekent geluk voor mij en voor degene naast mij met zijn spandoek?;
40;5;Matteüs 5:11-20;Zo moet jullie licht schijnen ;Het Malieveld raakt nog wat verder uit beeld. Jezus toont zich een leraar van Israël door met de zijnen te spreken over wet en profeten. Pas als wet en profeten werkelijk worden verstaan, wordt de optocht naar het Malieveld een lichtprocessie. Maar, eerst moet er nog heel wat bijge­leerd worden. ‘Gelukkig zijn jullie wanneer ze je omwille van mij uit­ schelden en van allerlei kwaad betichten.’ Hiermee maakt Jezus het voor zijn leerlingen zeer concreet. Kunnen mensen die geen weet heb­ ben van vervolging, begrijpen wat hier staat? Voelen de mensen die wél vervolgd worden zich gelukkig en dichter bij God? Lastige vragen. Ook christenen worden nog altijd vervolgd. Het is noodzakelijk goed naar hen te luisteren. Zij weten van verdrukking. Jezus maakt duidelijk dat de leer van de Tora de basis vormt voor het geluk van elk mens die het Koninkrijk van God wil binnengaan.;
40;5;Matteüs 5:13-16;De taak van Gods volk;"Om zijn leerlingen te herinneren aan de taak die ze hebben in de wereld, en om hen moed in te spreken, gebruikt Jezus twee uitspraken. 
De eerste uitspraak ‘Jullie zijn het zout in deze wereld’ maakt duidelijk dat wie Jezus wil volgen en zijn leven afstemt op Gods nieuwe wereld (met alle uitdagingen die dat met zich meebrengt), toegevoegde waarde is op de plek waar hij leeft en werkt. 
En in de tweede uitspraak: ‘Jullie zijn het licht in deze wereld’ worden wij eraan herinnerd dat een leven met God (die zelf licht is) niet onopgemerkt kan blijven. Het is duidelijk zichtbaar voor de omgeving. 
Iedereen mag zien hoe het leven met deze God is.";Hoe helpen wetten zoals Jezus die hier noemt, jou om Stel, je zou een concreet voorbeeld moeten noemen van hoe je tegenwoordig zout of licht kunt zijn: wat voor actie, welke persoon, welke daad zou jij dan noemen? liefde te leven?
40;5;Matteüs 5:17-20, 43-48;Jezus vervult de wet;"Wetten en regels zorgen vaak voor discussie. Zowel bij de Joden in de tijd van Jezus als nu. Sommigen klinken zelfs erg vreemd in een andere tijd. Denk bijvoorbeeld aan de medische wetenschap die ons voor keuzes stelt die in de tijd van de Bijbel nog in de verste verte niet bij de mensen opkwamen. Hoe kunnen we de Bijbel recht doen in zo’n gesprek?

In 5:17-20 lees je een paar wegwijzers van Jezus als het gaat om hoe je de Bijbel gebruikt. Hij geeft geen stappenplan, maar wijst een richting.
Zo is het niet Jezus’ doel om de wet af te schaffen. Het doel dat Jezus voor ogen heeft, is net om hun echte betekenis te laten zien (5:17). Je zou kunnen zeggen dat in alles wat Jezus doet en zegt de diepere betekenis van de wet aan het licht komt. Voor Jezus gaat het niet zozeer om uitleg van de wet, maar om het einddoel ervan, de ‘echte’ betekenis. En die echte betekenis van de wet is voor Jezus alleen te ontdekken in het licht van Gods nieuwe wereld.";Hoe betrek jij de Bijbel bij nieuwe en onbekende situaties waar de Bijbel niet direct iets over zegt?
40;5;Matteüs 5:21-32;Ga je eerst verzoenen ;"Jom Kipoer: voor Joden het grote feest van de verzoening. De tempel is prachtig. Ook de kerk met de gereedstaande avondmaalstafel in het heldere zondagochtendlicht nodigt te komen. Maar hoe kom je? Besef je waar je bent? De verhouding tot je naaste: wat waren de laatste woorden, wat stond er in dat zure appje, waarom die akelige opmerkin­gen door de telefoon? Als je je bewust bent van wat je aan misverstand achterliet, herstel dan eerst de verhouding. Ga je eerst met die ander verzoenen en kom daarna je offer brengen. Breng jezelf binnen als een ‘offer’ in de verstoorde verhouding. Een offer kost altijd wat, maar levert ook iets op.
Dit bijbelgedeelte cirkelt om herstel van verhoudingen, voor zover het jouw aandeel is. Het raakt de betekenis van verzoening. Wat een vera­ deming als dat gaat lukken. Mislukken moet geen optie zijn.";
40;5;Matteüs 5:27-37;Hard voor jezelf ... ;Jezus werkt zijn woorden over de wet hier nog concreter uit. Het gaat er niet om dat je je precies aan de regeltjes houdt, het gaat erom waarom die regels er zijn. Al in je gedachten kun je de fout ingaan, ook als een ander daardoor niet direct schade lijdt. Maar je gedachten over die ander maken al wel dat je niet vanuit het juiste perspectief naar hem of haar kijkt. Al in je gedachten doe je een ander tekort, wordt iemand slachtoffer van jouw verkeerde verlangens. Daarom moet je hard zijn voor jezelf: je moet je gedachten stoppen voordat het verdergaat...;Met welke gedachten doe jij anderen tekort? Hoe kun je die gedachten stoppen?
40;5;Matteüs 5:3-12;De zaligsprekingen;"Wanneer ben je gelukkig? Bij geluk denken wij vaak aan heel andere dingen dan waar Jezus hier over spreekt.
De komende dagen lezen we gedeelten uit de Bergrede van Jezus, die begint met een aantal schijnbaar tegenstrijdige uitspraken over geluk. Met ‘gelukkig zijn’ bedoelt Jezus dat mensen de zegen van God ontvangen. Mensen die in vrede leven, mensen die het niet altijd makkelijk hebben maar leven zoals God het wil, die zal God zegenen.
In de eerste verzen spreekt Jezus óver de mensen voor wie God zal zorgen. Maar vanaf vers 11 spreekt Jezus rechtstreeks tót de mensen. Jezus spreekt de mensen aan die hem volgen en naar hem luisteren.";Wat is echt geluk voor jou?
40;5;Matteüs 5:33-48;Wees volmaakt ;"‘Ik geloof dat mensen alleen uit onoplettendheid optimist zijn.’ Dit citaat van de schrijver W.F. Hermans zet ons bijbelgedeelte in een spotlicht waarin zeer velen zich zullen herkennen. Bij iedere opmerking zou je pessimistisch kunnen zeggen: Dat is te veel gevraagd. Hoe kun je iemand na de rechterwang óók de linkerwang toekeren? Als je even niet oplet misschien, maar als je wél oplet, sta je klaar om terug te mep­ pen. Waarom zou je mensen die jou nooit uitnodigen, terugvragen? Het is toch een keer klaar. Tot je onoplettend zegt: Wanneer komen jullie weer eens eten? De ander zegt: Graag, we vragen jullie nooit terug. Ik kan niet koken zoals jij. Ik schaam me.
Misschien is onoplettendheid wel de opening naar de ander. Zou Jezus dat bedoelen met: ‘Wees dus volmaakt, zoals jullie hemelse Vader vol­ maakt is’? Volmaakt, ook vertaald met: uit één stuk.";
40;5;Matteüs 5:38-48;... mild voor anderen ;Het effect van de verrassing is groter dan het effect van terugslaan. Als iemand je iets aandoet, kun je hem of haar met gelijke munt terugbetalen. Maar het heeft meer effect als je je tegenstander verrast door juist iets te doen waar hij of zij niet op gerekend had. Wanneer je iemand verrast door het goede voor hem of haar te doen, blijft dat veel langer hangen dan wanneer je hetzelfde terugdoet. Wie weet betekent het zelfs het begin van een verandering bij je tegenstander. En ook bij jezelf verandert er iets: je gaat anders naar je tegenstander kijken.;Wie is voor jou een ‘tegenstander’? Hoe kun je hem of haar verrassen?
40;6;Matteüs 6:1-18;Niet voor de bühne ;"Je ziet het weleens langskomen op social media: filmpjes van bekende mensen die goede dingen doen voor anderen. Met soms wel duizenden likes of complimenten eronder.

Jezus geeft zijn leerlingen ook de opdracht om goed te zijn voor de mensen om hen heen. Maar wat opvalt bij alle drie de opdrachten is dat de mensen hun goede daden onopvallend en verborgen moeten doen. Iets doen zonder dat anderen het zien of belonen: dat vraagt nogal wat! Dat doet een beroep op je karakter. Jezus sluit elk van deze opdrachten af met een belofte, namelijk dat God je ervoor zal belonen. Hij ziet wat je in het verborgene doet.";Welke goede dingen kun jij vandaag in het verborgene doen?
40;6;Matteüs 6:1-18;Bid als volgt ;Wie vertrouwd is met kerkelijke oecumene kijkt niet op van een protes­tant die op Aswoensdag een askruisje haalt. In veel kerken is daartoe gelegenheid. ‘Gedenk dat je stof bent,’ klinkt uit de mond van de voor­ ganger. De kerkganger wordt bekruist met as van verbrande palmtak­ jes. Het duidt op verborgenheid. Dat is op Aswoensdag een veelzeggend woord. De Vader ziet in het verborgene. ‘Aarde tot aarde, stof tot stof, as tot as,’ zo klinkt bij de uitvaart. Meestal volgt er dan een tekst over de opstanding. Jezus is niet zoals de vogel Feniks uit de as herrezen. Hij is uit het graf opgewekt. Het maakt de symboliek van het askruisje nog sterker. Het gaat om vernieuwing van binnenuit. Het uiterlijk vertoon van huichelaars verwaait als as. God ziet tot diep in het verborgene. Ga daar maar vanuit, sta daar maar uit op!;
40;6;Matteüs 6:1-4;Een gift uit barmhartigheid;"In Nederland en Vlaanderen is er vandaag georganiseerde armenzorg. Maar in de in Grieks-Romeinse wereld was er nog geen georganiseerd vangnet tegen armoede. Rijkdom was er het zichtbare bewijs dat je een streepje voor had bij de goden. Was je arm, dan was het je eigen schuld en had je waarschijnlijk iets verkeerd gedaan. 
En toch klinkt er al in het Oude Testament een ander geluid. In het boek Deuteronomium lezen we bijvoorbeeld dat Israëlieten niet alleen aan zichzelf mogen denken en iemand die arm is moeten geven wat hij nodig heeft. (Deut 15,7-8).  Arme mensen staan niet aan de zijkant in de Bijbel, maar juist in het centrum van Gods aandacht en liefde.

Als Jezus hier spreekt over het geven van geld aan arme mensen, dan staat Hij hiermee dus helemaal in lijn met de Joodse traditie. Het geven zelf staat in dit gedeelte dan ook niet ter discussie. Wel de bedoeling die erachter schuilt. Waarom doe je dit? En voor wie? Wat hoop je dat het je oplevert? Dat zijn de vragen die Jezus hier centraal zet.

Het hoeft niet op te vallen als je geld geeft aan arme mensen. God ziet wel wat er in het geheim gebeurt. Hij is trouwens zelf iemand die werkzaam is in het onzichtbare.";Als je Jezus’ woorden doortrekt, is een heel toegewijde gelovige dus eigenlijk iemand die van de buitenkant helemaal niet gelovig lijkt: je ziet hem of haar nooit geld geven, vasten of andere goede dingen doen. Wat vind je van deze gedachte?
40;6;Matteüs 6:16-18;Vasten;"In de wereld van de Bijbel was vasten een bekend religieus gebruik. In het Oude Testament komen we dit gebruik ook tegen. Al levert de profeet Jesaja wel felle kritiek op hoe het volk vast (Jesaja 58). Hij benoemt eerst het goede verlangen dat hij ziet: een volk dat God zoekt en naar Gods nabijheid verlangt (vers 2). Maar goede intenties alleen zijn niet genoeg. Het gaat er ook om hoe je leeft. Als je vast omdat je je nederig voor God wilt opstellen, moet je die nederigheid ook in de rest van je leven laten zien. Zo zet je niet je eigen eer en belangen centraal, maar God.
De kritiek die Jezus in Matteüs levert, lijkt op de kritiek van Jesaja. Opnieuw moeten de leerlingen voorkomen dat ze de mensen als publiek kiezen. Aan de buitenkant hoef je niet te zien waar ze vanbinnen mee bezig zijn. En juist dat is volgens Jezus het geheim van zijn leerlingen: aan de buitenkant lijk je weinig te zien, maar vanbinnen gebeurt er meer. Net als bij het geld geven aan de armen (6:1-4) en het bidden (6:5-15), benadrukt Jezus ook hier weer dat God zelf ook in het verborgene aanwezig is. Hij belooft hun dan ook dat God hen ervoor zal belonen.";Wat zou voor jou een reden kunnen zijn om te vasten?
40;6;Matteüs 6:19-24;Leven vanuit vertrouwen;"Jezus geeft een uitdagende opdracht mee: zijn leerlingen mogen geen aardse rijkdom verzamelen. Maar hoe komen ze dan aan eten, drinken en kleren? Hebben ze daar straks wel genoeg van? Er kunnen dus best wat zorgen opkomen bij het uitvoeren van deze opdracht. Vandaar dat Jezus dit aanvult met een bemoediging dat God voor zijn kinderen zorgt.
Jezus begint niet een theologische discussie over hoe en waarom God dit doet. Nee, Hij wijst hen op wat ze voor zich zien – vogels en bloemen – en Hij relativeert hun zorgen.
Jezus zegt ook dat zijn leerlingen zich niet moeten afvragen wat ze zullen eten, drinken of hoe ze zich moeten kleden. Maar iedereen heeft toch eten, drinken en kleding nodig? Natuurlijk, maar er is wel een verschil in prioriteit (‘eerst’) en in houding: zoeken en ontvangen tegenover najagen en verkrijgen.";‘Maak je geen zorgen’ is makkelijker gezegd dan gedaan. Wat helpt jou hierbij?
40;6;Matteüs 6:19-34;Denk en geloof niet te klein ;Het is soms best lastig om in onze wereld tevreden te zijn. We worden voortdurend opgeroepen om ons te blijven ontwikkelen en te verbeteren. Want ‘stilstaan is achteruitgaan’. Dit is een voedingsbodem voor ontevredenheid en zorgen. Jezus roept hier op om anders in het leven te staan. Om te beginnen bij ‘Gods koninkrijk en zijn rechtvaardigheid’. Dat betekent dat je gaat beseffen dat je leven in goede handen is. Dat je leeft vanuit overvloed. Dat je beseft dat je in relatie met God en anderen leeft.;Natuurlijk weet God ook wel dat je al die dagelijkse dingen nodig hebt. Maak je daar nu maar geen zorgen over.
40;6;Matteüs 6:19-34;Kijk naar de vogels ;"Een broodmand vol adviezen. Ze trachten verkeerde honger te stillen, zoals honger naar schatten op aarde. Geld of de laatste mode, waar maak je je druk om? ‘Bezit van de zaak is het einde van het vermaak,’ zei onze buurvrouw. Ze leefde er ook naar. Jezus belicht de vraag van de bezorgdheid. Hoe zal het nieuwe volk van God eruitzien? Met precies dezelfde zorgen als alle mensen? Is er dan reden om Jezus’ woorden ter harte te nemen? Wat maakt het verschil? De kerk heeft altijd mensen gekend die het verschil hebben gemaakt, zoals Franciscus van Assisi, sprekend voorbeeld van bezorgdheid, bezien in een ander licht:
Heer, maak mij een instrument van uw vrede. Waar haat is, laat me liefde zaaien, Als er pijn is, vergeef me; Waar wanhoop is, geloof.";
40;6;Matteüs 6:5-15;Bidden;"De opdracht om binnenskamers te bidden is best vreemd. Geloof beleefde je in Israël namelijk met elkaar. Stel je even voor hoe het tempelplein in Jeruzalem eruit moet hebben gezien. Allemaal mensen die samen zingen, offers brengen, én samen en met elkaar bidden. 
Maar Jezus roept juist op om je terug te trekken in je huis, de deur te sluiten en daar in het geheim te bidden. 
Bij bidden gaat het volgens Jezus om een vertrouwen op een luisterende God die zal voorzien in wat je nodig hebt. Dat roept de vraag op wat dan écht nodig is. En daarmee komen we bij het Onzevader uit: een gebed dat laat zien waar het volgens Jezus ten diepste om draait in het leven.

Het Onzevader bestaat uit twee delen die elkaar spiegelen.
Het eerste gedeelte is gericht op God en de hemel: ‘uw nieuwe wereld’, ‘uw wil’. Het tweede gedeelte is dan weer gericht op ons en de wereld: ‘Geef ons’, ‘vergeef ons’, ‘help ons’. Uiteindelijk worden de de hemelse en de aardse dimensie met elkaar verbonden in vers 10: ‘Laat op aarde uw wil gedaan worden, net zoals dat in de hemel gebeurt.’
De verbinding tussen hemel en aarde is daarmee de kern van het Onzevader. Als je dit gebed uitspreekt, richt je je op Gods nieuwe wereld. Het stelt de verlangens en wil van God centraal. En dat is volgens Jezus waar het bidden om draait.

Jezus zegt dat vergeving een voorwaarde is voor gebed (verzen 14-15). Als je niet bereid bent om een (levens)houding aan te nemen die past bij wat je bidt, dan heeft bidden niet zoveel zin. Wat vind je van die gedachte?";Jezus zegt dat vergeving een voorwaarde is voor gebed (verzen 14-15). Als je niet bereid bent om een (levens)houding aan te nemen die past bij wat je bidt, dan heeft bidden niet zoveel zin. Wat vind je van die gedachte?
40;7;Matteüs 7:1-12;Behandel anderen zoals je zelf behandelt wilt worden;"Jezus roept op: ‘Veroordeel andere mensen niet, dan zal God jou ook niet veroordelen. Want zoals jij kritiek hebt op andere mensen, zo zal God kritiek hebben op jou. En God zal jou beoordelen zoals jij andere mensen beoordeelt’ (7:1-3) Als je zoiets te horen krijgt, pas je wel op om andere mensen om het minste of geringste af te schrijven.
En met het beeld van de balk en de splinter onderstreept Jezus nog eens extra dat er bij jezelf ook genoeg op en aan te merken valt, ook al zie je bij anderen misschien makkelijker dingen die verkeerd zijn. 
De opdracht die Jezus aan zijn leerlingen meegeeft en de gemeenschap die Hij voor ogen heeft, is uitdagend, net als de opdracht om geen aardse rijkdom te verzamelen. Daarom geeft Hij zijn leerlingen opnieuw een bemoediging mee. Wanneer je iets vraagt aan God of aan een medemens, dan komt dat meestal wel goed.

Het belangrijkste is dat je andere mensen behandelt net zoals je zelf behandeld wilt worden. Daar gaat het om in s wet en in de andere heilige boeken, maar het is ook de kern van Jezus’ onderwijs.";In de gelijkenis van de balk en de splinter laat Jezus zien dat Hij een gemeenschap voor ogen heeft waarin mensen elkaar niet veroordelen. Beeld je eens in hoe dit er uit zou kunnen zien in jouw gemeenschap of kerk: wat zou er anders zijn?
40;7;Matteüs 7:13-14;Twee wegen en twee poorten;"In dit korte verhaal worden twee bekende beelden uit de oudheid gebruikt: wegen en poorten. De weg is in de oudheid en in de Joodse geschriften uit die tijd een beeld voor het leven dat iemand leidt. De poort markeert de overgang van het leven naar de dood. 
Jezus begint met een opdracht: ‘Ga naar binnen door de smalle poort!’ In de Bergrede wordt het werkwoord ‘binnengaan’ vaak gebruikt als er gesproken wordt over het binnengaan in het ‘Gods nieuwe wereld’ (5:20 en 7:21; zie ook 18:8-9; 19:16-17,23-24 25:46). Want door die smalle poort kom je bij het ‘eeuwige leven’: een toekomst waarin het leven ten volle ervaren en geleefd wordt.
Waarom is de poort naar het eeuwige leven zo smal? Omdat het niet de vanzelfsprekende keuze is. De keuze om je op Gods nieuwe wereld te richten is vaak een keuze die tegen de massa in gaat.
En hoe vind je die smalle poort dan? Hiervoor gebruikt Jezus een ander beeld, namelijk het beeld van de moeilijke en de makkelijke weg. De moeilijke weg kan veel van je kan vragen: het vergeven van je vijanden (5:44) of je geen zorgen maken (6:25) zijn best stevige opdrachten. Maar verrassend genoeg is juist deze moeilijke weg een weg die naar het echte, het eeuwige leven leidt.";Neem deze week eens een moment om terug te blikken op de afgelopen week. Wat is een goed voorbeeld dat je op de moeilijke weg liep? En wat is een goed voorbeeld dat je op de makkelijke weg liep?
40;7;Matteüs 7:13-23;Kennen en herkennen ;"We horen er tegenwoordig veel over: integriteit. Het betekent dat iemand eerlijk en betrouwbaar is en dat die persoon ook doet wat hij of zij zegt. Soms blijkt het voor mensen of bedrijven lastig om integer te zijn.
Jezus waarschuwt voor mensen die je precies kunnen vertellen wat God van je vraagt, maar het vervolgens zelf niet doen.
Het is belangrijk om niet alleen naar iemands verhaal te luisteren, maar ook te kijken naar zijn of haar daden. Dan weet je pas of de persoon het echt meent!

 ";Hoe kunnen anderen aan jouw daden zien dat je bij God wilt horen?
